Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,129215179,1655.2656512320682,4034396,51.68121248563264,659917,2820098,36.12587459642224,70408,0.9019369463702669,11626,
United States of America,Americas,30159557,9111.58,440627,133.12,63781,546818,165.2,6498,1.96,931,Community transmission
Brazil,Americas,12748747,5997.73,528736,248.75,90638,321515,151.26,20830,9.8,3869,Community transmission
India,South-East Asia,12303131,891.53,456479,33.08,81466,163396,11.84,2447,0.18,469,Clusters of cases
France,Europe,4620357,7078.46,268851,411.88,50659,95366,146.1,2535,3.88,304,Community transmission
Russian Federation,Europe,4563056,3126.78,61197,41.93,8792,99633,68.27,2616,1.79,400,Clusters of cases
The United Kingdom,Europe,4350270,6408.2,31138,45.87,4478,126764,186.73,319,0.47,51,Community transmission
Italy,Europe,3607083,5965.88,142540,235.75,22184,109847,181.68,3048,5.04,501,Clusters of cases
Turkey,Europe,3357988,3981.53,237975,282.16,40806,31713,37.6,1094,1.3,176,Community transmission
Spain,Europe,3274150,7002.81,21552,46.1,0,75215,160.87,99,0.21,0,Community transmission
Germany,Europe,2855061,3407.65,120308,143.59,21888,76775,91.63,1152,1.37,232,Community transmission
Colombia,Americas,2406377,4729.25,53167,104.49,8646,63422,124.64,1028,2.02,167,Community transmission
Poland,Europe,2387511,6308.39,197545,521.96,30541,54165,143.12,2860,7.56,500,Community transmission
Argentina,Americas,2348821,5196.99,78944,174.67,16056,55858,123.59,912,2.02,122,Community transmission
Mexico,Americas,2238887,1736.48,30132,23.37,5977,203210,157.61,3583,2.78,577,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1897314,2258.9,66491,79.16,11750,62759,74.72,617,0.73,94,Community transmission
Ukraine,Europe,1711630,3913.75,96923,221.62,19893,33679,77.01,2218,5.07,433,Community transmission
South Africa,Africa,1549451,2612.52,7888,13.3,1294,52897,89.19,362,0.61,51,Community transmission
Peru,Americas,1548807,4697.36,56288,170.72,8730,52008,157.73,1352,4.1,207,Community transmission
Czechia,Europe,1545865,14435.22,42558,397.4,6248,26765,249.93,1126,10.51,179,Community transmission
Indonesia,South-East Asia,1517854,554.93,35295,12.9,6142,41054,15.01,973,0.36,196,Community transmission
Netherlands,Europe,1280443,7472.73,52071,303.89,7882,16559,96.64,166,0.97,22,Community transmission
Chile,Americas,1003406,5248.98,48644,254.46,7868,23328,122.03,804,4.21,193,Community transmission
Canada,Americas,982116,2602.17,35746,94.71,5518,22959,60.83,200,0.53,33,Community transmission
Romania,Europe,958918,4984.58,39124,203.37,6115,23674,123.06,955,4.96,136,Community transmission
Belgium,Europe,887920,7661.34,23996,207.05,5,23045,198.84,172,1.48,6,Community transmission
Iraq,Eastern Mediterranean,856939,2130.5,41334,102.76,6015,14360,35.7,232,0.58,37,Community transmission
Israel,Europe,833269,9627.01,3018,34.87,489,6216,71.82,66,0.76,11,Community transmission
Portugal,Europe,822314,8064.5,3104,30.44,592,16859,165.34,45,0.44,11,Clusters of cases
Sweden,Europe,813191,8051.98,39585,391.96,8292,13498,133.65,38,0.38,1,Community transmission
Philippines,Western Pacific,756199,690.08,63181,57.66,8911,13303,12.14,208,0.19,6,Community transmission
Pakistan,Eastern Mediterranean,672931,304.64,31943,14.46,4974,14530,6.58,502,0.23,96,Community transmission
Hungary,Europe,670776,6943.6,56164,581.39,9055,21262,220.1,1763,18.25,267,Community transmission
Jordan,Eastern Mediterranean,618059,6057.54,46769,458.38,6482,6940,68.02,663,6.5,82,Community transmission
Bangladesh,South-East Asia,617764,375.11,33369,20.26,6469,9105,5.53,308,0.19,59,Community transmission
Serbia,Europe,605406,8693.66,33511,481.22,4810,5345,76.75,270,3.88,37,Community transmission
Switzerland,Europe,600331,6936.54,10132,117.07,5,9654,111.55,35,0.4,0,Community transmission
Austria,Europe,545726,6059.31,22265,247.21,3058,9109,101.14,165,1.83,23,Community transmission
Morocco,Eastern Mediterranean,496676,1345.62,3323,9,579,8825,23.91,37,0.1,7,Clusters of cases
Japan,Western Pacific,477458,377.51,14618,11.56,2685,9185,7.26,218,0.17,23,Clusters of cases
Lebanon,Eastern Mediterranean,471962,6914.74,19681,288.35,3562,6286,92.1,322,4.72,52,Community transmission
United Arab Emirates,Eastern Mediterranean,463759,4688.98,15122,152.9,2315,1499,15.16,33,0.33,2,Community transmission
Saudi Arabia,Eastern Mediterranean,390597,1121.96,3815,10.96,590,6676,19.18,46,0.13,7,Sporadic cases
Slovakia,Europe,363874,6664.8,8420,154.22,1385,9877,180.91,504,9.23,87,Clusters of cases
Panama,Americas,355051,8228.74,2969,68.81,447,6114,141.7,49,1.14,5,Community transmission
Malaysia,Western Pacific,346678,1071.12,8510,26.29,1178,1278,3.95,30,0.09,6,Clusters of cases
Bulgaria,Europe,346327,4984.24,25223,363,3694,13313,191.6,801,11.53,116,Clusters of cases
Ecuador,Americas,330388,1872.62,11732,66.5,1633,16877,95.66,295,1.67,30,Community transmission
Belarus,Europe,323043,3418.69,8050,85.19,1236,2257,23.89,64,0.68,10,Community transmission
Kazakhstan,Europe,299626,1595.73,10524,56.05,0,3696,19.68,110,0.59,0,Clusters of cases
Georgia,Europe,282789,7088.92,3343,83.8,529,3798,95.21,60,1.5,13,Community transmission
Nepal,South-East Asia,277461,952.27,952,3.27,152,3031,10.4,11,0.04,1,Clusters of cases
Croatia,Europe,276416,6733.2,12305,299.74,2362,5996,146.06,142,3.46,29,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,273231,5355.99,12841,251.71,2353,2901,56.87,130,2.55,20,Community transmission
Bolivia (Plurinational State of),Americas,272411,2333.68,5352,45.85,992,12257,105,150,1.29,18,Community transmission
Greece,Europe,267172,2563.28,19180,184.02,3483,8160,78.29,459,4.4,67,Community transmission
Azerbaijan,Europe,263961,2603.38,13040,128.61,2248,3593,35.44,172,1.7,26,Clusters of cases
Tunisia,Eastern Mediterranean,255308,2160.22,7271,61.52,1290,8843,74.82,180,1.52,31,Community transmission
Dominican Republic,Americas,253196,2334.05,2228,20.54,469,3330,30.7,35,0.32,5,Community transmission
Ireland,Europe,236600,4791.62,3842,77.81,746,4705,95.29,74,1.5,18,Community transmission
Kuwait,Eastern Mediterranean,233521,5468.14,9089,212.83,1418,1319,30.89,61,1.43,6,Community transmission
Republic of Moldova,Europe,231756,5745.12,9636,238.87,1515,5003,124.02,301,7.46,43,Community transmission
Denmark,Europe,231265,3992.7,5421,93.59,662,2423,41.83,14,0.24,4,Community transmission
Lithuania,Europe,217865,8003.01,5189,190.61,860,3594,132.02,65,2.39,11,Community transmission
Slovenia,Europe,216945,10435.38,7193,345.99,1335,4343,208.9,33,1.59,1,Clusters of cases
Costa Rica,Americas,216764,4255.18,2765,54.28,0,2957,58.05,43,0.84,0,Community transmission
Paraguay,Americas,214667,3009.69,13844,194.1,1976,4206,58.97,337,4.72,45,Community transmission
Ethiopia,Africa,208961,181.76,14437,12.56,2372,2887,2.51,146,0.13,22,Community transmission
Egypt,Eastern Mediterranean,202843,198.22,4832,4.72,712,12041,11.77,273,0.27,46,Clusters of cases
Armenia,Europe,194852,6575.63,6406,216.18,1116,3552,119.87,118,3.98,19,Community transmission
Guatemala,Americas,194398,1085.08,3191,17.81,0,6840,38.18,75,0.42,0,Community transmission
Honduras,Americas,189043,1908.64,4222,42.63,529,4605,46.49,99,1,6,Community transmission
Qatar,Eastern Mediterranean,180804,6275.62,4885,169.56,840,295,10.24,14,0.49,4,Community transmission
Bosnia and Herzegovina,Europe,171324,5221.99,11161,340.19,1698,6675,203.46,531,16.18,76,Community transmission
Nigeria,Africa,162997,79.07,819,0.4,106,2058,1,27,0.01,1,Community transmission
Venezuela (Bolivarian Republic of),Americas,160497,564.42,7182,25.26,1348,1602,5.63,81,0.28,13,Community transmission
Oman,Eastern Mediterranean,160018,3133.54,6180,121.02,800,1681,32.92,31,0.61,3,Community transmission
Libya,Eastern Mediterranean,159980,2328.24,4748,69.1,1023,2680,39,89,1.3,13,Community transmission
Bahrain,Eastern Mediterranean,145380,8543.85,6256,367.66,935,523,30.74,15,0.88,2,Clusters of cases
Myanmar,South-East Asia,142466,261.84,126,0.23,32,3206,5.89,1,0,0,Clusters of cases
Kenya,Africa,135042,251.14,8872,16.5,984,2167,4.03,75,0.14,14,Community transmission
North Macedonia,Europe,131424,6308.21,7933,380.78,1402,3810,182.88,236,11.33,29,Community transmission
Albania,Europe,125506,4361.18,2739,95.18,349,2241,77.87,57,1.98,6,Clusters of cases
Algeria,Africa,117304,267.51,761,1.74,112,3096,7.06,25,0.06,3,Community transmission
Estonia,Europe,108418,8173.02,6831,514.95,1165,922,69.5,75,5.65,14,Clusters of cases
Puerto Rico,Americas,107470,3756.57,2504,87.53,365,2118,74.03,15,0.52,5,Community transmission
Uruguay,Americas,105549,3038.49,17737,510.6,3088,974,28.04,131,3.77,21,Community transmission
Republic of Korea,Western Pacific,104194,203.23,3431,6.69,558,1737,3.39,21,0.04,2,Clusters of cases
Latvia,Europe,103001,5460.77,3525,186.88,638,1913,101.42,49,2.6,14,Community transmission
China,Western Pacific,102790,6.99,155,0.01,28,4851,0.33,1,0,0,Clusters of cases
Norway,Europe,96079,1772.27,5978,110.27,871,673,12.41,17,0.31,0,Community transmission
Sri Lanka,South-East Asia,92917,433.92,1628,7.6,211,571,2.67,17,0.08,3,Clusters of cases
Montenegro,Europe,91571,14579.84,1832,291.69,0,1274,202.84,40,6.37,0,Clusters of cases
Kosovo[1],Europe,91362,4910.93,6071,326.33,975,1876,100.84,73,3.92,14,Community transmission
Ghana,Africa,90649,291.73,650,2.09,66,744,2.39,7,0.02,1,Community transmission
Kyrgyzstan,Europe,88700,1359.55,842,12.91,162,1500,22.99,6,0.09,0,Clusters of cases
Zambia,Africa,88549,481.66,1231,6.7,131,1212,6.59,21,0.11,4,Community transmission
Uzbekistan,Europe,83239,248.7,1279,3.82,189,630,1.88,6,0.02,0,Clusters of cases
Finland,Europe,78106,1409.67,3864,69.74,654,846,15.27,31,0.56,2,Community transmission
Cuba,Americas,76276,673.42,6474,57.16,1013,425,3.75,17,0.15,1,Community transmission
Mozambique,Africa,67729,216.7,967,3.09,150,775,2.48,22,0.07,0,Community transmission
El Salvador,Americas,64431,993.35,665,10.25,0,2014,31.05,21,0.32,4,Community transmission
Luxembourg,Europe,61881,9885.49,1676,267.74,239,749,119.65,13,2.08,3,Community transmission
Singapore,Western Pacific,60407,1032.54,154,2.63,26,30,0.51,0,0,0,Sporadic cases
Afghanistan,Eastern Mediterranean,56572,145.32,318,0.82,55,2495,6.41,28,0.07,6,Sporadic cases
Cameroon,Africa,53920,203.12,6251,23.55,0,779,2.93,58,0.22,0,Community transmission
Cyprus,Europe,46173,3824.3,2563,212.28,309,260,21.53,12,0.99,4,Clusters of cases
Namibia,Africa,44374,1746.39,1364,53.68,235,528,20.78,26,1.02,5,Community transmission
Côte d’Ivoire,Africa,44326,168.04,2262,8.58,437,247,0.94,18,0.07,3,Community transmission
Uganda,Africa,40889,89.39,156,0.34,22,335,0.73,1,0,0,Community transmission
Botswana,Africa,40878,1738.29,3319,141.14,1030,591,25.13,106,4.51,23,Community transmission
Jamaica,Americas,39543,1335.39,2415,81.56,306,599,20.23,53,1.79,3,Community transmission
Senegal,Africa,38782,231.62,527,3.15,77,1054,6.29,26,0.16,3,Community transmission
Zimbabwe,Africa,36896,248.24,118,0.79,14,1523,10.25,5,0.03,0,Community transmission
Malawi,Africa,33584,175.56,197,1.03,33,1118,5.84,10,0.05,1,Community transmission
Sudan,Eastern Mediterranean,31833,72.6,276,0.63,0,2063,4.7,22,0.05,0,Community transmission
Australia,Western Pacific,29322,114.99,94,0.37,18,909,3.56,0,0,0,Clusters of cases
Malta,Europe,29085,6587.13,473,107.12,52,394,89.23,16,3.62,2,Clusters of cases
Thailand,South-East Asia,28947,41.47,370,0.53,84,94,0.13,2,0,0,Clusters of cases
Democratic Republic of the Congo,Africa,28198,31.48,470,0.52,57,745,0.83,19,0.02,2,Community transmission
Madagascar,Africa,24695,89.18,1655,5.98,270,424,1.53,55,0.2,15,Community transmission
Maldives,South-East Asia,24379,4510.09,1288,238.28,300,67,12.39,1,0.18,0,Clusters of cases
Angola,Africa,22399,68.15,485,1.48,88,538,1.64,6,0.02,1,Community transmission
Rwanda,Africa,21918,169.22,708,5.47,135,308,2.38,10,0.08,1,Community transmission
Guinea,Africa,20083,152.92,851,6.48,175,127,0.97,14,0.11,2,Community transmission
Gabon,Africa,19550,878.36,1124,50.5,410,118,5.3,9,0.4,0,Community transmission
Mayotte,Africa,19408,7113.98,102,37.39,0,161,59.01,7,2.57,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,19039,108.79,993,5.67,130,1274,7.28,68,0.39,9,Community transmission
French Polynesia,Western Pacific,18633,6633.13,28,9.97,6,141,50.19,0,0,0,Sporadic cases
Mauritania,Africa,17878,384.5,166,3.57,31,449,9.66,2,0.04,0,Community transmission
Cabo Verde,Africa,17587,3163.2,800,143.89,-293,169,30.4,5,0.9,1,Community transmission
Eswatini,Africa,17344,1494.96,38,3.28,7,668,57.58,2,0.17,1,Community transmission
French Guiana,Americas,17132,5735.87,210,70.31,0,93,31.14,4,1.34,0,Community transmission
Réunion,Africa,16586,1852.54,1025,114.49,0,115,12.84,13,1.45,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Haiti,Americas,12788,112.15,52,0.46,26,252,2.21,1,0.01,0,Community transmission
Burkina Faso,Africa,12774,61.11,155,0.74,57,149,0.71,4,0.02,3,Community transmission
Belize,Americas,12456,3132.58,46,11.57,4,317,79.72,0,0,0,Community transmission
Andorra,Europe,12053,15599.56,366,473.69,43,115,148.84,1,1.29,0,Community transmission
Guadeloupe,Americas,11512,2877.11,417,104.22,0,178,44.49,9,2.25,5,Community transmission
Somalia,Eastern Mediterranean,11398,71.72,734,4.62,0,529,3.33,58,0.36,0,Community transmission
Lesotho,Africa,10706,499.76,20,0.93,20,315,14.7,0,0,0,Community transmission
Togo,Africa,10480,126.59,974,11.77,231,109,1.32,2,0.02,0,Community transmission
Guyana,Americas,10249,1303.03,429,54.54,57,231,29.37,11,1.4,0,Clusters of cases
Mali,Africa,10199,50.36,552,2.73,157,386,1.91,11,0.05,1,Community transmission
South Sudan,Africa,10197,91.1,149,1.33,0,112,1,4,0.04,0,Community transmission
Congo,Africa,9681,175.44,0,0,0,135,2.45,0,0,0,Community transmission
Aruba,Americas,9443,8844.58,458,428.98,69,86,80.55,4,3.75,1,Community transmission
Bahamas,Americas,9171,2332.14,185,47.04,52,188,47.81,0,0,0,Clusters of cases
Suriname,Americas,9122,1554.98,45,7.67,13,177,30.17,0,0,0,Clusters of cases
Mongolia,Western Pacific,8841,269.68,2946,89.86,394,8,0.24,3,0.09,0,Clusters of cases
Curaçao,Americas,8404,5121.49,1980,1206.63,506,35,21.33,8,4.88,2,Community transmission
Djibouti,Eastern Mediterranean,8180,827.94,1164,117.81,178,71,7.19,7,0.71,1,Community transmission
Trinidad and Tobago,Americas,8026,573.5,123,8.79,22,142,10.15,1,0.07,0,Community transmission
Guam,Western Pacific,7600,4503.04,16,9.48,3,134,79.4,0,0,0,Clusters of cases
Martinique,Americas,7549,2011.65,285,75.95,0,50,13.32,3,0.8,0,Community transmission
Benin,Africa,7313,60.32,213,1.76,0,93,0.77,3,0.02,0,Community transmission
Equatorial Guinea,Africa,7008,499.51,157,11.19,94,103,7.34,1,0.07,1,Community transmission
Papua New Guinea,Western Pacific,6475,72.37,1510,16.88,363,60,0.67,21,0.23,0,Community transmission
Iceland,Europe,6205,1818.35,42,12.31,0,29,8.5,0,0,0,Community transmission
Gambia,Africa,5459,225.89,156,6.46,0,165,6.83,4,0.17,1,Community transmission
